pathology,auroc,ci_lo,ci_hi,n_labeled,n_pos,backbone,head,dataset,eval_split
label_cardiomegaly,0.8764077643619036,0.8563806870244598,0.8957760840760259,1090,584,rad-dino,linear,chexpert_plus,test
label_edema,0.8671742923424095,0.848952626955433,0.884707351849438,1774,1237,rad-dino,linear,chexpert_plus,test
label_consolidation,0.7618934134825663,0.7330430213189204,0.7917777120796542,1691,247,rad-dino,linear,chexpert_plus,test
label_atelectasis,0.8862757731958764,0.7740895973463391,0.962141222823695,1566,1552,rad-dino,linear,chexpert_plus,test
label_pleural_effusion,0.9051996967251204,0.8931903318202924,0.9168571713521568,2748,1593,rad-dino,linear,chexpert_plus,test
label_pneumothorax,0.8577438444791954,0.8359702129361652,0.8779837018076719,1868,315,rad-dino,linear,chexpert_plus,test
label_pneumonia,0.5993817346758523,0.5437383360388375,0.6566035969721419,657,102,rad-dino,linear,chexpert_plus,test
label_lung_opacity,0.8707431292121646,0.8402141461267105,0.8983707612000997,2180,2049,rad-dino,linear,chexpert_plus,test
label_fracture,0.7413716814159292,0.6851818629233578,0.7965263662036685,346,226,rad-dino,linear,chexpert_plus,test
label_no_finding,,,,603,603,rad-dino,linear,chexpert_plus,test
MACRO,0.8184657033212241,0.8016233839603444,0.8327299654810119,4863,8508,rad-dino,linear,chexpert_plus,test
label_cardiomegaly,0.8183239482375873,0.7919545175498907,0.8439594771885246,1090,584,dinov2,linear,chexpert_plus,test
label_edema,0.8511009846914428,0.831025667191784,0.8699172072451905,1774,1237,dinov2,linear,chexpert_plus,test
label_consolidation,0.736261733600996,0.7045347127714328,0.7690854110230751,1691,247,dinov2,linear,chexpert_plus,test
label_atelectasis,0.8769790132547863,0.7946053093718902,0.9444590379562556,1566,1552,dinov2,linear,chexpert_plus,test
label_pleural_effusion,0.8812809287385559,0.868254491729195,0.8938775931973557,2748,1593,dinov2,linear,chexpert_plus,test
label_pneumothorax,0.8001103854291235,0.7723699639726331,0.8249421316818112,1868,315,dinov2,linear,chexpert_plus,test
label_pneumonia,0.584543366896308,0.5248510694911678,0.6421845349178873,657,102,dinov2,linear,chexpert_plus,test
label_lung_opacity,0.8454952890816223,0.8147893750679343,0.8739015419496157,2180,2049,dinov2,linear,chexpert_plus,test
label_fracture,0.7291297935103245,0.6741601625648678,0.7852347164267826,346,226,dinov2,linear,chexpert_plus,test
label_no_finding,,,,603,603,dinov2,linear,chexpert_plus,test
MACRO,0.7914694937156386,0.7772701997387039,0.805474519804128,4863,8508,dinov2,linear,chexpert_plus,test
